KeyParamGroup	EntitySet	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelAcquisitionTechnique	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	SliceEncodingDirection	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3	FilePath
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-12766954/sub-12766954/ses-3/anat/sub-12766954_ses-3_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72931025/sub-72931025/ses-1/anat/sub-72931025_ses-1_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72547077/sub-72547077/ses-1/anat/sub-72547077_ses-1_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72571009/sub-72571009/ses-0/anat/sub-72571009_ses-0_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72571009/sub-72571009/ses-1/anat/sub-72571009_ses-1_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72841884/sub-72841884/ses-4/anat/sub-72841884_ses-4_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72841884/sub-72841884/ses-5/anat/sub-72841884_ses-5_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72931025/sub-72931025/ses-0/anat/sub-72931025_ses-0_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-73369061/sub-73369061/ses-2/anat/sub-73369061_ses-2_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0	/sub-72498029/sub-72498029/ses-0/anat/sub-72498029_ses-0_acq-20160627t1mprnssagpat2iso_T1w.nii.gz
